folder,manmask,reject_reason,note
032_Z_291-51_STIS,3,,"CONFIRMED by GTR: BEST_iter06_gtr_hand_z69, -9.7 / 218.22 -- GTR's hand masks under a REDSHIFT OVERRIDE of +69 km/s (0.027870 -> 0.028107, ica/redshift_overrides.csv, key 'Z 291-51'). Two separate one-quantum moves from my -147.9 / 221.9. (1) Masks: GTR's set contains my four absorbers with the peak notch grown to 1549.8-1551.5 A, taking three shoulder pixels where the data sit above the model (33.4 / 32.1 / 31.8 vs 28.5 / 27.4 / 26.7); the model sits lower on the red side of the peak, EW -1 per cent, half-flux point one pixel blueward: -78.8 / 219.48 at the catalogue z, residuals equal to mine. (2) Redshift: every anchor says the catalogue z is low -- Mg II xcorr +120 (zeroes at +160), C III] peak +288, C III] xcorr +240 but closing at only 0.7 km/s per km/s, NED listing 0.027838-0.028243 (-9 to +109). trial_z.py and figure_redshift_case.png make the case. GTR chose +69, one quantum, to stay inside NED's range; under it the anchors improve (Mg II +50, C III] xcorr +190 / peak +219) with residuals unchanged (0.36 / 0.58 / 0.56 / 0.60), and the C IV blueshift moves one quantum less negative, as it must -- raising systemic makes the fixed observed line bluer relative to it. Stored masks were rescaled by (1+z_old)/(1+z_new) onto the shifted grid, as trial_z.py does, since the loader rescales only the wavelength axis. Model core still 15 per cent under the data (basis limit). GTR identified C IV absorption at the peak and near 1565 and 1570 A; all present in the per-pixel scan and now masked and marked (BEST_iter04_gtr_absorbers): a notch at the line centre, 1550.0-1550.9 A (data 34.0 -> 29.9 -> 32.1), a smaller one on the blue side of the peak at 1546.1-1547.0, one at 1565.0-1566.1 and a sharp 8.85 -> 7.25 drop at 1570.1-1572.2. Each is under 0.6 sigma against errors of 2-4.6, and masking all four changes nothing measurable: -147.9 / 221.94 against 221.89 without. What is bringing the fit down is not absorption: the model runs UNDER the data continuously from 1548.7 to 1561 A, +0.5 to +1.9 sigma per pixel over 35 px (median model 18.2 against data 23.0), i.e. the core and red flank are under-reconstructed by ~20 per cent, the basis limit seen on Mrk 1310 and Mrk 40. Neither alternative component set helps -- high lowers the peak (26.8 vs 28.5; -217.0 / 214.1) and low fails the veto on 17 px (197.5 / 136.8). Auto component set with the proposer's masks, no curated prior exists. STIS alone, all four anchors: Si IV 0.34, C IV 0.63, C III] 0.59, Mg II 0.55 sigma rms -- among the cleanest fits of the pass -- veto clean, blueshift -147.9 in every variant, EW 221.1-221.9. Anchors C III] xcorr +240 and Mg II +120 km/s with the C III] peak at +288: the catalogue z may be three to four quanta low, worth a look"
040_AKN120_FOS,3,,"GTR 2026-09-22, hand fit on the regenerated tree (BEST_iter02_gtr_hand in fit_iterations_v23/040_AKN120_FOS; folder was 040_AKN120_STIS): blueshift 59.4, EW 121.4 A, 217 usable px, veto clean, anchors C III] peak +103 / xcorr -110, Mg II +90. Was manmask 0 as no_civ_data -- the master held only a 237-px STIS fragment; the FOS that carries C IV was never rebinned. FOS exposure y29e0304t has a garbage block at 1604-1612 A observed (12x its neighbours) that wrecked the automatic pass until masked; flag it upstream. The merge with the block masked gave 197.5 / 117.7 and FOS alone 128.4 / 119.8; GTR's fit on the FOS is adopted as 'a bit better', manmask 3."
036_Mrk_290_COS,3,,"CO-ADDER FIX (2026-09-16): merged spectra were written without their gap pixels, leaving holes in the wavelength array that morph2 and get_ICA -- both index-aligned -- could not cope with; every merge was rebuilt on a full lattice and its records replayed (pipeline_output/refit_after_coaddfix_merges.csv). Re-test: the merge (COS only, the STIS file being empty) now fits -- 197.5 / 175.72, veto clean, no masks -- instead of returning the EW = 0 sentinel; GTR's adopted COS fit with masks (266.5 / 199.37) is on the single file and stands. CONFIRMED by GTR at manmask 3: BEST_iter02_gtr_hand, GTR's own COS fit, 266.5 / 199.37, veto clean, Si IV 0.81 and C IV 0.74 sigma rms, the red wing tracked pixel for pixel from 1555 to 1600 A and the peak (19.4 against 22, masked) where the data put it. Stated caveat, which GTR weighed and set aside: the spectrum has NO data from 1418 to 1542 A -- the whole blue wing of C IV and the 1445-1465 A continuum window are a gap -- so 38 per cent of the EW (76 of 199 A) comes from pixels blueward of any data, the half-flux point at 1547.75 A is 4 A inside the data with a cumulative sum that is 38 per cent extrapolated, and there is no C III] or Mg II to check the redshift within the fit. Distinguished from the red-wing-only exclusions (13, 22, 31) in that the peak and the red half are observed. The STIS file Mrk 290_STIS.fits contains zero usable pixels (upstream issue) and the merge is therefore COS alone with the EW = 0 sentinel; superseded. S/N 18 per pixel. v22 manmask was 2"
033_Z_229-15_STIS,3,,"CONFIRMED by GTR: BEST_iter03_allmasks, 266.5 / 241.25. Auto component set with the proposer's one mask (2721-2728 A, outside C IV). STIS alone, all four anchors: Si IV 0.49, C IV 0.77, C III] 0.82, Mg II 0.55 sigma rms, veto clean, blueshift 266.5 in every variant, EW 241.3-243.9. Anchors C III] xcorr +160, Mg II +50 km/s. AP's prior (override_mask, two masked pixels at 1565-1568 A) reports 266.5 / 205.5: the same model measured with the pre-fix continuum indexing -- the old formula on this reconstruction gives 202.3, the two pixels account for the rest -- so the 15 per cent gap is arithmetic, not a better or worse fit. The model peaks at 33 against 39 in the data (15 per cent short at the core) and sits ~1 sigma under the blue flank, the usual basis shortfall on a narrow line; no absorption to mask. No GTR prior"
035_2MASX-J00391586-5117013_COS,2,,"ACCEPTED by GTR at manmask 2 -- OK for this paper, with a reservation: BEST_iter11_gtr_hand2, GTR's own COS fit under the mask-aware morph, 404.5 / 22.67, comps low (auto). RESERVATION: the reconstruction sits below the continuum on 144 px inside the window, -11.7 per cent at 1518 A in the masked blue wing (1503-1525) and -7 per cent in the red wing (1578-1597, where the model is under the data); the clamp hides a negative area of -2.75 A, 12 per cent of the line's EW (19.9 A if counted). The blueshift does not depend on those pixels (positive contribution inside the veto ranges 0.23 A) but is sensitive to defensible mask and fitter choices at the five-quantum level (128-474 across variants). Nothing improves it: comps mod / high give -51 / -83 per cent, the far-UV 1302-1346 mask gains 0.5 per cent for a three-quantum move, bounded weights make it worse here. The fit is otherwise excellent -- Si IV 0.20, C IV 0.24, C III] 0.21 sigma rms, C III] xcorr -70 km/s -- and the model rises cleanly above the BAL-absorbed data as masking a BAL should. GTR's reading: a large BAL trough in the COS epoch absent in FOS; COS is the better spectrum (S/N 7.4, C III], no Mg II) and the BAL complex is masked from 1346 A (Si IV) through 1552 A. FOS alone fails the veto in every configuration. Excluded after an extended attempt at GTR's request, which found a pipeline defect. GTR's reading: a large BAL trough in the COS epoch, absent in FOS. COS is the better spectrum (S/N 7.4, C III] covered, no Mg II). GTR's hand fit (masks over Si IV 1364-1405, the whole blue half of C IV 1470-1553, 1436-1471, the far-UV, and the garbage beyond 1935 A) still left the model 43 per cent below continuum on 185 px across the masked wing. Diagnosis: (1) component 1 carried a NEGATIVE weight (-0.051), subtracting a scaled mean quasar and carving a C IV-shaped hole; bounding all weights at zero halved the trough but did not remove it (the fitter has no bounds -- a separate decision, not applied). (2) A leave-one-band-out scan showed the far-UV 1300-1365 A drove it most: the BAL complex extends well below Si IV. (3) Physically removing the masked pixels changed the model by 5-10 per cent -- masked pixels WERE leaking, through the morph: its continuum is a running median over the raw flux with no knowledge of the mask, and GTR's masks covered two of its windows (1350-1360, 1435-1465), moving the morph coefficient 5-11 per cent across 1300-1600 A and stamping a mask-immune depression into the de-morphed model. FIXED in run_ica.main_ICA (masked pixels set to NaN for the morph only; cont_filtered's nanmedian skips them); controls reproduce exactly. Under the fix GTR's masks give 266.5 / 15.56 with the trough at -32 per cent on 192 px (iter10_gtr_hand_morphfix) -- still failing the veto, because the larger part of the trough is the basis's own prediction for a weak (EW 15-27), BAL-absorbed line. The COS spectrum also carries 723 unflagged pixels at 2000-2360 A reaching 92,704 (a rebin-pipeline issue; fit-neutral). Blueshift spans eight quanta across variants. Excluded (provisional -- GTR to confirm). Two full-coverage spectra, COS (S/N 7.4) and FOS (5.1), and every configuration of each puts the reconstruction below its continuum across the blue wing inside the window: the merge on 84 px at 1500-1529 A (48 per cent below), FOS under GTR's curated masks on 70 px at 1500-1524 (23 per cent), under mine on 64 px (16 per cent), COS on 121 px (57 per cent); the iterative absorption search cannot start on either because its base already fails. The line is weak (EW 19-46 across variants) and the blueshift wanders over eight quanta (-632 to +474). The C III] peak sits +442 km/s from the catalogue z while the C III] and Mg II cross-correlations give -210 to -250 and -80 to -100 -- the queue's z_needs_check flag; a peak/xcorr disagreement of 650 km/s says the C III] blend is asymmetric rather than that z is wrong, and no redshift change would lift a model that is under the continuum. v22 manmask was 1"
037_Mrk_279_STIS,3,,"CONFIRMED by GTR: BEST_iter01_gtr_prior, -78.8 / 105.30 (after the morph fix; 105.72 before). GTR's curated STIS masks adopted (comps auto): -78.8 / 105.72, veto clean, anchors C III] xcorr -350 and Mg II +370 km/s (the two disagree in sign, and the C III] peak is -670; the model's C III]/Mg II shapes rather than z, but worth GTR's eye). The STIS far-UV is a forest of spikes that GTR's pixel masks remove; my proposer-based pass is worse in every window (C IV rms 3.40 vs 1.97, C III] 1.33 vs 0.67, Mg II 2.07 vs 1.26) and my all-masks variant over-masks the line to 47 px and trips the veto. The merge is unusable (rms 8-14 sigma, EW 3052): the COS spectrum covers only 1542-1600 A at a different epoch, the NGC 7469 pattern. COS alone under GTR's masks fails the veto on the red side. Model peak 11.4 against data 13 with the data above the model along the red wing (C IV median +1.04) -- basis shortfall, not absorption. Fifth object where the merge loses to a single spectrum"
038_Mrk_493_STIS,3,,"CONFIRMED by GTR after trying by hand: BEST_iter04_itermasks, 197.5 / 155.74, the red-wing mask kept. My STIS variant adopted over GTR's, with a one-quantum choice flagged. Two full epochs disagree by ~50 per cent in EW -- FOS 96-102 under every mask set, STIS 138-156 -- and the merge is poor (C III] 4.5 sigma); STIS has the better residuals on every spectrum and every mask set, so it is the epoch used. iter04_itermasks (proposals plus one round of the absorption search): 197.5 / 155.64, veto clean, Si IV 1.00, C IV 1.31, C III] 1.75, Mg II 1.46 sigma rms, better than GTR's STIS masks in all four (1.33 / 1.57 / 2.35 / 1.68, with a 3-px 0.9 per cent veto at 1590 A). Anchors C III] xcorr +260, Mg II +80; the C III] peak +256 suggests the catalogue z is three to four quanta low. CAVEAT: the search masked a red-wing deficit at 1556-1567 A (data 5.5-7 against model 7-9); without it the blueshift is 266.5 (all-masks 197.5 / 150.3 with the same C IV candidate masked; non-C IV masks 266.5 / 145.9 with a 3-px 0.6 per cent dip at 1590). This is the Mrk 335 question -- absorption or a basis wing overshooting a narrow line -- where GTR chose to leave the deficit in; if the same applies here the pick is iter03_allmasks at 197.5 / 150.33, veto clean. Model peak 26.5 against data 29.7"
039_Mrk_817_STIS,2,,"ACCEPTED by GTR at manmask 2 -- OK for this paper, with a reservation: BEST_iter05_gtr_hand2, GTR's own STIS hand fit, 128.4 / 88.39. GTR's reservation, in their words: 'there is clearly something off about the data that I don't think is physics.' Mrk 817 carries a deep, broad intrinsic absorber across 1515-1535 A (flux 1.3 against a continuum of 3) plus narrow absorbers on the peak and red flank, and the blueshift moves with how much of that absorbed blue wing is masked (my all-masks variant -78.8 / 82.0, GTR's earlier curated masks 128.4 / 85.7, the non-C IV-mask variant -217.0). The merge (COS covers 1524-1600 A only, a different epoch) swings five quanta and is not used. Mrk 817 carries a deep, broad intrinsic absorber across 1515-1535 A (flux 1.3 against a continuum of 3) plus narrow absorbers on the peak and red flank, so the fit is a masking exercise. iter03_allmasks (proposals incl. the four C IV candidates, 118 px left): -78.8 / 81.99, veto clean, Si IV 1.07, C IV 1.74, C III] 1.29, Mg II 1.33 sigma rms, better than GTR's masks in all four (1.22 / 2.50 / 1.31 / 1.60; theirs leaves the model 1 sigma over the data in C IV, i.e. absorption still in). The absorption search's further round over-masks to 57 px and is not used (-78.8 / 84.0). Anchors C III] xcorr -110, Mg II +190. CAVEAT: GTR's masks give 128.4, three quanta from -78.8, and the non-C IV-mask variant -217.0 -- the half-flux point moves with how much of the absorbed blue wing is masked; the merge (COS covers 1524-1600 A only) swings over five quanta and is not used. Model peak 11.2 with the data peak masked"
041_3C_120_COMBINED,1,iue_only,"IUE only: no HST spectrum exists for 3C 120 (row 68, J043311.02+052115.6) in the rebin master. manmask 1 by GTR's instruction, as the marker that it still needs to be dealt with in the IUE grouping; not a verdict. Catalogue z carries z_needs_check; resolve before any IUE measurement. GTR 2026-09-21: manmask 1 stands, awaiting IUE. Correcting the record: HST data does exist for this object and the target name checks out, but no HST spectrum reaches C IV, so it cannot be measured here. The catalogue lists LWP/LWR/SWP, so there is IUE coverage to work with in that grouping. The reason iue_only is kept as the marker for that grouping, not as a claim that no HST spectrum exists."
043_PG1310-1051_COMBINED,1,iue_only,"IUE only: no HST spectrum exists for PG1310-1051 (row 290, J131305.73-110743.5) in the rebin master. manmask 1 by GTR's instruction, as the marker that it still needs to be dealt with in the IUE grouping; not a verdict."
050_Mrk_1179_COS,0,low_snr,"CONFIRMED by GTR (manmask 0). Excluded by the no_civ_data guard: the COS spectrum (591 good px) has zero usable pixels inside 1500-1600 A and no continuum windows, C III] or Mg II; the pipeline's 2124.2 / 30.9 is wholly extrapolated from the Si IV region. v22 manmask was blank GTR 2026-09-22, after the regeneration: manmask 0 stands, reason now low_snr rather than no_civ_data. The G160M segment is present (140 px in the window) but the spectrum scatters 0-15 about a continuum near 5 along its whole length and nothing rises out of it at C IV; the model's EW of 8 A is noise, and the veto fails on 129 px because the flux level steps down at 1555 A at a detector-segment junction, not because of a line. Fits in fit_iterations_v23/050_Mrk_1179_COS."
045_Pic_A_FOS,3,,"CONFIRMED by GTR with their own hand masks: BEST_iter09_gtr_hand, 266.5 / 245.00 (SiIV: med +0.56 rms 0.87 (n=214)  |  CIV: med +0.52 rms 0.94 (n=213)  |  CIII]: med -0.05 rms 0.93 (n=206)  |  MgII: med +0.55 rms 0.94 (n=187)). GTR judged the proposer fit to be running through the lower half of the data and masked low pixels to bring it up. For the record, my ladder: no C IV masks 335.5 / 219.1 (C IV median +0.61 sigma, model under); the first round of the absorption search (3 ranges) 266.5 / 253.2 (+0.51); the full search (12 ranges, 26 A of the line) 266.5 / 342.7 with the model overshooting the data peak (32 vs 26) -- over-masked. FOS, full coverage at S/N 7.3, all four anchors: Si IV 0.88, C IV 1.01, C III] 0.91, Mg II 0.97 sigma rms, veto clean, blueshift 335.5 and EW 219.1 identical across all three mask sets. Anchors C III] xcorr -190 (peak -197) and Mg II -110 km/s, both the same sign: the catalogue z (0.035, three decimals) is likely ~two quanta HIGH -- this is the object the queue flagged z_needs_check. Not acted on; a -138 km/s override would move the blueshift two quanta more negative (to ~197.5)"
048_Mrk_841_COS,2,,"ACCEPTED by GTR at manmask 2, reaffirmed after my recommendation of 0 was put to them with the numbers below: BEST_iter05_gtr_hand, GTR's own COS hand fit, 1368.7 / 1547.17. RESERVATION: the COS coverage begins at 1547.6 A, blueward of the line centre by under 2 A, so the entire blue half of the profile and the 1445-1465 A continuum window are unobserved; 67 per cent of the EW (1038.5 A) lies blueward of any data and the half-flux point sits -5.2 A from the first observed pixel. No C III] or Mg II. S/N 4.9. The measurement therefore depends on the basis's reconstruction of an unobserved wing. Earlier variants on this spectrum returned 1574.9 / 822.8 (proposer masks) and 1368.7 / 1488.4 (GTR's first curated set), which is what an unconstrained blue wing can do; GTR's hand fit brings it to the value above. Compare Mrk 290 (index 36, accepted at 3), whose data begin at 1543.8 A with 62 per cent of the EW observed. v22 manmask was 1"
042_RXS-J00057-5007_COS,3,,"CONFIRMED by GTR: BEST_iter03_allmasks, -286.1 / 66.51. My masks kept over GTR's by a small margin: BEST_iter03_allmasks, -286.1 / 66.51, Si IV 0.73 and C IV 0.68 sigma rms against 0.88 / 0.70 under GTR's curated set (iter04_gtr_prior, -355.3 / 67.60); one quantum apart, the difference sitting in the blue-side masks. COS alone (S/N 13), coverage from 1535.2 A: the 1445-1465 A continuum window is unobserved, so the continuum's blue anchor is the reconstruction's, but only 10 per cent of the EW (6.6 A) lies blueward of any data, the peak is observed, and the half-flux point sits 15 A inside the data; the red window is observed. No C III] or Mg II, so no anchor check. Blueshift -493.6 with no masks, -286.1 / -355.3 with, three quanta -- the unmasked absorbers pull it. v22 manmask was 0"
044_Mrk_509_COMBINED,3,,"CONFIRMED by GTR, who chose the three-spectrum MERGE with no masks (BEST_iter01_baseline, 197.5 / 142.46) over the single-epoch alternatives -- the first time on the pass the merge is preferred for a multi-epoch object. Merge: SiIV: med +3.23 rms 4.21 (n=81)  |  CIV: med -0.91 rms 4.30 (n=117)  |  CIII]: med -0.35 rms 2.47 (n=199)  |  MgII: med -2.86 rms 4.01 (n=186); anchors {'ciii_peak_dv': -506.0, 'ciii_xcorr_dv': -230.0, 'mgii_xcorr_dv': -110.0}; veto 0 px; C IV coverage 117 px. My provisional pick had been STIS with my masks (iter03_allmasks, 266.5 / 157.82, anchors C III] -10 / Mg II -10, all windows 0.86-1.61), on the anchor criterion. Three complete spectra of a well-known variable (COS S/N 68, FOS 27, STIS 16) that disagree by up to four quanta and 30 per cent in EW, and the merge is poor (Si IV 3.65 on 20 px, Mg II 3.31): the epoch IS the measurement. Under GTR's masks: COS 128.4 / 126.3 (C III] xcorr -180, no Mg II; C IV rms 1.68 at that S/N is a real mismatch), FOS 266.5 / 166.3 (best per-sigma fit, 0.69-1.07 everywhere, but anchors -250 / -220 and a C III] peak at -506 -- the FOS wavelength scale or the model, either way the worst-anchored epoch), STIS 335.5 / 149.8 (anchors +30 / -30). My masks on STIS (iter03_allmasks, 14 absorption proposals outside C IV, none inside): 266.5 / 157.82, veto clean, Si IV 1.20, C IV 1.08, C III] 0.86, Mg II 1.61 -- better than GTR's STIS masks in every window (1.30 / 1.46 / 1.08 / 2.22) -- and the cleanest anchors of any spectrum of this object, C III] xcorr -10 and Mg II -10 km/s (the C III] PEAK says +530, but that estimator is noisy at this S/N and the cross-correlation is the one to trust here). Recommended on the anchor criterion; GTR to choose the epoch. My COS pass: 128.4 / 126.3 (non-C IV masks) or 59.4 / 129.0 (all masks); my FOS pass: 266.5 / 166.6, matching GTR's"
047_Mrk_1392_STIS,3,,"CONFIRMED by GTR with their own hand masks: BEST_iter04_gtr_hand, 473.5 / 135.12, nine absorbers marked inside C IV (1536.6-1565.6 A) plus 1655-1657 and 1287-1290 and nine pixels; marginally better than the proposer fit (C IV rms 0.19 vs 0.20, EW 133.46 -> 135.12, blueshift unchanged), and the figure now shows the features. STIS alone at S/N 8.7, the C IV window fully observed (280 px), veto clean, Si IV 0.19 and C IV 0.20 sigma rms (the errors may be generous), 473.5 / 133.46 identical across all three mask sets. CAVEAT: the spectrum ends at 1657 A, so the 1700-1705 A continuum window is unobserved and the continuum's red anchor is the reconstruction extrapolated ~45 A beyond the data -- a caveat on the EW, not the blueshift, whose half-flux point sits 47 A inside the data. No C III] or Mg II"
049_ESO_141-55_COS,3,,"CONFIRMED by GTR: BEST_iter04_gtr_prior, 335.5 / 119.98. GTR's curated masks adopted: BEST_iter04_gtr_prior, 335.5 / 119.98. My proposer pass gives the same blueshift with EW 114.63 and residuals equal within noise (Si IV 0.74 / C IV 0.73 against 0.72 / 0.70), so there is no basis to prefer mine and GTR's identification of the absorbers stands. COS alone at S/N 25, coverage from 1529.9 A: the blue continuum window is unobserved, 17 per cent of the EW (19.9 A) lies blueward of any data, the peak and the half-flux point (17 A inside the data) are observed, and the data end at 1703-1704 A, just inside the red window. No C III] or Mg II. Blueshift identical across every variant. v22 manmask was 1"
046_Mrk_110_COS,2,,"CO-ADDER FIX (2026-09-16): merged spectra were written without their gap pixels, leaving holes in the wavelength array that morph2 and get_ICA -- both index-aligned -- could not cope with; every merge was rebuilt on a full lattice and its records replayed (pipeline_output/refit_after_coaddfix_merges.csv). Re-test: the merge now gives -9.7 / 173.46 instead of -1325 / 8.0, but still fails the veto on 123 px; the adopted COS fit stands. ACCEPTED by GTR at manmask 2 -- OK for this paper, with a reservation: BEST_iter05_gtr_hand, GTR's own COS hand fit, -78.8 / 368.52, veto clean. RESERVATION: the EW rests on a continuum whose blue anchor (1445-1465 A) is unobserved -- COS starts at 1532 A -- and whose red anchor is the ~10 pixels at the spectrum's end (1695-1705 A, data ending at 1702). Masking the single spike pixel at 1698.0 A (correct) re-tilted the morph continuum (f2500 0.553 -> 0.361, C IV continuum +45 per cent at the blue end, -23 per cent at the red) and moved the EW from 398.2 to 368.5, 7.5 per cent, while the line itself came out TALLER (model peak 67 vs 56). On the same masks the component set alone moves it to 335.5 / 151 (comps high). So the EW carries ~10 per cent continuum-anchor sensitivity and a factor-2.6 component-set sensitivity; the blueshift is -78.8 under every mask set and component set except high. Two epochs of a famously variable object, and they differ by a factor of two in line strength: COS (S/N 16.5) has C IV at ~13x continuum, STIS (S/N 4.6) at ~6x, so COS 398 against STIS 208 (GTR's masks, -147.9) is real variability, not fit quality -- the STIS 'data peak' of 90 is an edge artefact at 1525 A where its coverage begins, masked by GTR; its true peak is 25 against a model of 28. Neither spectrum has the 1445-1465 A window (COS starts at 1532, STIS at 1525), so the continuum's blue anchor is the reconstruction's; 11 per cent of the COS EW (42 A) lies blueward of any data, the peak and half-flux point (17.6 A inside) are observed. COS has no C III] or Mg II; STIS supplies the redshift check -- C III] xcorr +240 (peak +272), Mg II +120 km/s -- which says the catalogue z (0.03529) is about two quanta LOW, the Z 291-51 situation; not acted on. The merge is garbage (rms 29 in C IV). SENSITIVITIES worth knowing: on the same COS masks comps high gives 335.5 / 151.4 (rms 1.07 against 0.88) -- six quanta and a factor 2.6 in EW from the component set alone; my proposer pass gives -78.8 / 357.4 with a better C IV rms (0.75) but f2500 shifted from 0.553 to 0.364, i.e. my masks changed the continuum normalisation (the COS data end at 1702 A under a spike), so it is not a better fit and GTR's stands. STIS under comps high / low fails the veto outright. The core is 30 per cent under-reconstructed (56 vs 81), the narrow-core basis limit. Blueshift -78.8 in every COS variant except comps high. v22 manmask was 2"
055_MKN_374_COMBINED,1,iue_only,"IUE only: no HST spectrum exists for MKN 374 (row 81, J065938.13+541147.6) in the rebin master. manmask 1 by GTR's instruction, as the marker that it still needs to be dealt with in the IUE grouping; not a verdict."
058_IRASF12397+3333_COS,0,no_civ_data,"CONFIRMED by GTR (manmask 0) after inspecting the re-scaled figure: real data end at 1452 A; the whole C IV window carries flux ~1 with NEGATIVE errors (median -125), non-physical and unusable. Excluded by the no_civ_data guard: the COS spectrum (671 good px) has zero usable pixels inside 1500-1600 A -- only 14 pixels in the 1445-1465 A window and nothing redward -- with no C III] or Mg II; any C IV number from it is wholly extrapolated. v22 manmask was blank"
054_Mrk_231_COS,2,,"ACCEPTED by GTR at manmask 2 with their own hand fit of Mrk 231_COS: BEST_iter02_gtr_hand, 2603.9 / 12.07, veto 46 px -2%, windows SiIV: med -0.00 rms 0.12 (n=231)  |  CIV: med -0.01 rms 0.11 (n=256)  |  CIII]: --  |  MgII: --, anchors {'ciii_xcorr_dv': None, 'mgii_xcorr_dv': None}, 6 ranges + 23 pixels. RESERVATION: this is the reddened FeLoBAL at S/N 1.4 in this spectrum; my provisional verdict had been exclusion (below). Excluded. Mrk 231, the reddened FeLoBAL ULIRG quasar: three spectra at S/N 1.4 (COS), 1.6 (FOS) and 0.2 (STIS) per pixel in the C IV window, and every one fails the sub-continuum veto outright -- COS on 129 px at 52 per cent below, FOS on 67 px at 41 per cent, STIS on 82 px at 95 per cent -- with blueshifts of 6144, 2056 and 1918 km/s and EWs of 23-68 that mean nothing. The C IV region is destroyed by the BAL absorption and there is no signal under it at this depth; the window residuals (0.16-0.35 sigma rms) are errors as large as the flux, the 3C 84 pattern. The FOS anchors happen to land at +40 / -40 km/s but the C III] peak sits at -2263 and STIS's at -1509, i.e. no clean anchor either. No curated prior from anyone. v22 manmask was 1"
051_Mrk_486_COMBINED,3,,"CONFIRMED by GTR at manmask 3: the MERGE with no masks, BEST_iter01_baseline, 59.4 / 53.43, veto clean, windows SiIV: med -0.07 rms 1.47 (n=87)  |  CIV: med -0.17 rms 0.37 (n=255)  |  CIII]: med -0.10 rms 0.61 (n=228)  |  MgII: med -0.09 rms 0.96 (n=186), anchors {'ciii_peak_dv': -702.0, 'ciii_xcorr_dv': -810.0, 'mgii_xcorr_dv': -660.0}. GTR fit it in the GUI after the co-adder fix and saved it with no masks (the GUI's measurement row records 59.38 / 53.43, masks none), which is this record exactly. The merge is COS (1239-1414 A, far-UV only, no C IV) plus FOS (1509 A onward, C IV at S/N 1.9); before the fix its 281-px hole made it unfittable (-3414 / 2.1). For the record: GTR's FOS-alone fit gives 473.5 / 53.03 and the bare FOS fit 473.5 / 46.39 -- six quanta from the merge at the same EW, the COS far-UV re-setting the weights on a line whose S/N lets the half-flux point follow them; the merge's anchors are -810 / -660 against FOS's -420 / -610. CO-ADDER FIX (2026-09-16): merged spectra were written without their gap pixels, leaving holes in the wavelength array that morph2 and get_ICA -- both index-aligned -- could not cope with; every merge was rebuilt on a full lattice and its records replayed (pipeline_output/refit_after_coaddfix_merges.csv). The merge's earlier garbage (-3414 / 2.1, veto on 164 px) was this bug: COS (1239-1414 A) and FOS (1509+) share no pixels and left a 281-px hole. Rebuilt, the merge with no masks gives 59.4 / 53.43, veto clean, SiIV: med -0.07 rms 1.47 (n=87)  |  CIV: med -0.17 rms 0.37 (n=255)  |  CIII]: med -0.10 rms 0.61 (n=228)  |  MgII: med -0.09 rms 0.96 (n=186), anchors {'ciii_peak_dv': -702.0, 'ciii_xcorr_dv': -810.0, 'mgii_xcorr_dv': -660.0} -- a real fit, SIX quanta from GTR's FOS fit (473.5 / 53.03) at the same EW, the COS far-UV re-setting the weights. With the COS segment masked the merge reproduces the bare FOS fit exactly (473.5 / 46.39). Verdict re-opened for GTR: the object now has two defensible fits six quanta apart on a S/N-1.9 line. Excluded (provisional -- GTR to confirm). Two spectra, but the COS one has no C IV pixels at all (576 px, far-UV only) and poisons the merge (-3414 / 2.1, veto on 164 px); FOS alone carries the line at S/N 1.9 per pixel with no 1445-1465 A window. GTR's curated FOS masks give 473.5 / 53.03, veto clean, but both anchors sit at -420 (C III] xcorr; peak -702) and -610 (Mg II) km/s, the same sign and 6-9 quanta. trial_z.py over -207 to -621 km/s shows this is NOT a clean redshift error: the anchors close at only ~0.5 km/s per km/s and are still -130 / -220 at -621, so at least half is model shape at this S/N -- and the C IV blueshift, which should move linearly with the trial shift, instead jumps 473 -> 59 -> 197 -> 128 -> 128 -> 128 -> 59: the half-flux point wandering across noise. A single S/N-1.9 spectrum whose blueshift is not stable to six quanta under a change that should not affect it. GTR's fit kept on record as REJECT_ALL_iter01_gtr_prior. v22 manmask was 1"
052_LEDA_1771917_COS,3,,"ACCEPTED by GTR at manmask 3: BEST_iter07_gtr_hand_zNED_open1525, GTR's COS hand fit under the NED/SIMBAD redshift 0.037669 (catalogue 0.0400, -672 km/s; the catalogue value put the model peak 0.5 A redward of the data with no C III]/Mg II in the spectrum to test it, so the override rests on the external value alone), masks rescaled by (1+z_old)/(1+z_new), and the two bluest data pixels at 1527-1528 A left in the fit. 197.5 / 126.02, SiIV: med +0.00 rms 0.67 (n=169)  |  CIV: med +0.21 rms 0.87 (n=148); C IV sub-continuum: none. With those two pixels masked (iter06) the veto tripped on a 22-px, -2.1 per cent sliver at 1590-1600 A and gave 266.5 / 119.35. Superseded: BEST_iter05_gtr_hand at the catalogue z, 749.2 / 101.15 at manmask 2 (55 px below continuum at 1500-1519, 15 per cent). COS alone at S/N 9.6 from 1527.4 A: no blue continuum window; ~7 per cent of the EW lies blueward of the data. v22 manmask was blank"
